sequenceID	source.name	species	genotype
GQ422126	ncbi-nuccore-feline	FIV	SA
GQ422127	ncbi-nuccore-feline	FIV	GlobalFca
GQ996603	ncbi-nuccore-feline	FIV	-
GU055218	ncbi-nuccore-feline	FIV	GlobalFca
GU066862	ncbi-nuccore-feline	FIV	SA
GU066863	ncbi-nuccore-feline	FIV	SA
GU066864	ncbi-nuccore-feline	FIV	SA
GU066865	ncbi-nuccore-feline	FIV	SA
GU066866	ncbi-nuccore-feline	FIV	SA
HV191587	ncbi-nuccore-feline	FIV	GlobalFca
HV191588	ncbi-nuccore-feline	FIV	GlobalFca
HV199745	ncbi-nuccore-feline	FIV	GlobalFca
HV199746	ncbi-nuccore-feline	FIV	GlobalFca
KF906164	ncbi-nuccore-feline	FIV	-
KF906165	ncbi-nuccore-feline	FIV	NA_A
KF906166	ncbi-nuccore-feline	FIV	-
KF906171	ncbi-nuccore-feline	FIV	-
KF906172	ncbi-nuccore-feline	FIV	NA_A
KF906173	ncbi-nuccore-feline	FIV	-
KF906174	ncbi-nuccore-feline	FIV	NA_A
KP264257	ncbi-nuccore-feline	FIV	SA
KP264258	ncbi-nuccore-feline	FIV	SA
KP264259	ncbi-nuccore-feline	FIV	SA
KP264260	ncbi-nuccore-feline	FIV	SA
KP264261	ncbi-nuccore-feline	FIV	SA
KP264262	ncbi-nuccore-feline	FIV	SA
KP264263	ncbi-nuccore-feline	FIV	GlobalFca
KP264264	ncbi-nuccore-feline	FIV	GlobalFca
KP264265	ncbi-nuccore-feline	FIV	GlobalFca
KP264266	ncbi-nuccore-feline	FIV	GlobalFca
KP264267	ncbi-nuccore-feline	FIV	GlobalFca
KP264268	ncbi-nuccore-feline	FIV	GlobalFca
KP264269	ncbi-nuccore-feline	FIV	GlobalFca
KP264270	ncbi-nuccore-feline	FIV	SA
KP264271	ncbi-nuccore-feline	FIV	SA
KP264272	ncbi-nuccore-feline	FIV	SA
KP264273	ncbi-nuccore-feline	FIV	SA
KP264274	ncbi-nuccore-feline	FIV	SA
KP264275	ncbi-nuccore-feline	FIV	SA
KP264276	ncbi-nuccore-feline	FIV	SA
KP264277	ncbi-nuccore-feline	FIV	SA
KP264278	ncbi-nuccore-feline	FIV	SA
KP264279	ncbi-nuccore-feline	FIV	SA
KP264280	ncbi-nuccore-feline	FIV	GlobalFca
KP264281	ncbi-nuccore-feline	FIV	GlobalFca
KP264282	ncbi-nuccore-feline	FIV	GlobalFca
KP264283	ncbi-nuccore-feline	FIV	GlobalFca
KP264284	ncbi-nuccore-feline	FIV	GlobalFca
KP264285	ncbi-nuccore-feline	FIV	GlobalFca
KP264286	ncbi-nuccore-feline	FIV	GlobalFca
KP264287	ncbi-nuccore-feline	FIV	GlobalFca
KP264288	ncbi-nuccore-feline	FIV	GlobalFca
KP264289	ncbi-nuccore-feline	FIV	GlobalFca
KP264290	ncbi-nuccore-feline	FIV	GlobalFca
KP264291	ncbi-nuccore-feline	FIV	GlobalFca
KP264292	ncbi-nuccore-feline	FIV	GlobalFca
KP264293	ncbi-nuccore-feline	FIV	GlobalFca
KP264294	ncbi-nuccore-feline	FIV	GlobalFca
KP264295	ncbi-nuccore-feline	FIV	GlobalFca
KP264296	ncbi-nuccore-feline	FIV	GlobalFca
KP264297	ncbi-nuccore-feline	FIV	GlobalFca
KP264298	ncbi-nuccore-feline	FIV	SA
KP264299	ncbi-nuccore-feline	FIV	SA
KP264300	ncbi-nuccore-feline	FIV	SA
KP264301	ncbi-nuccore-feline	FIV	SA
KP264302	ncbi-nuccore-feline	FIV	SA
KP264303	ncbi-nuccore-feline	FIV	SA
KP264304	ncbi-nuccore-feline	FIV	SA
KP264305	ncbi-nuccore-feline	FIV	SA
KP264306	ncbi-nuccore-feline	FIV	SA
KP264307	ncbi-nuccore-feline	FIV	SA
KP264308	ncbi-nuccore-feline	FIV	SA
KP264309	ncbi-nuccore-feline	FIV	SA
KP264310	ncbi-nuccore-feline	FIV	SA
KP264311	ncbi-nuccore-feline	FIV	SA
KP264312	ncbi-nuccore-feline	FIV	SA
KP264313	ncbi-nuccore-feline	FIV	SA
KP264314	ncbi-nuccore-feline	FIV	SA
KP264315	ncbi-nuccore-feline	FIV	SA
KP264316	ncbi-nuccore-feline	FIV	-
KP264317	ncbi-nuccore-feline	FIV	-
KP264318	ncbi-nuccore-feline	FIV	SA
KP264319	ncbi-nuccore-feline	FIV	SA
KP264320	ncbi-nuccore-feline	FIV	SA
KP264321	ncbi-nuccore-feline	FIV	SA
KP264322	ncbi-nuccore-feline	FIV	SA
KP264323	ncbi-nuccore-feline	FIV	SA
KP264324	ncbi-nuccore-feline	FIV	GlobalFca
KP264325	ncbi-nuccore-feline	FIV	SA
KP264326	ncbi-nuccore-feline	FIV	SA
KP264327	ncbi-nuccore-feline	FIV	SA
KP264328	ncbi-nuccore-feline	FIV	SA
KP264329	ncbi-nuccore-feline	FIV	SA
KP264330	ncbi-nuccore-feline	FIV	SA
KP264331	ncbi-nuccore-feline	FIV	SA
KP264332	ncbi-nuccore-feline	FIV	SA
KP264333	ncbi-nuccore-feline	FIV	GlobalFca
KP264334	ncbi-nuccore-feline	FIV	GlobalFca
KP264335	ncbi-nuccore-feline	FIV	GlobalFca
KP264336	ncbi-nuccore-feline	FIV	GlobalFca
KP264337	ncbi-nuccore-feline	FIV	GlobalFca
KP264338	ncbi-nuccore-feline	FIV	GlobalFca
KP264339	ncbi-nuccore-feline	FIV	GlobalFca
KP264340	ncbi-nuccore-feline	FIV	GlobalFca
KP264341	ncbi-nuccore-feline	FIV	GlobalFca
KP264342	ncbi-nuccore-feline	FIV	GlobalFca
KP264343	ncbi-nuccore-feline	FIV	GlobalFca
KP264344	ncbi-nuccore-feline	FIV	GlobalFca
KP264345	ncbi-nuccore-feline	FIV	GlobalFca
KP264346	ncbi-nuccore-feline	FIV	GlobalFca
KP264347	ncbi-nuccore-feline	FIV	GlobalFca
KP264348	ncbi-nuccore-feline	FIV	GlobalFca
KP264349	ncbi-nuccore-feline	FIV	GlobalFca
KP264350	ncbi-nuccore-feline	FIV	GlobalFca
KP264351	ncbi-nuccore-feline	FIV	SA
KP264352	ncbi-nuccore-feline	FIV	SA
KP264353	ncbi-nuccore-feline	FIV	SA
KP264354	ncbi-nuccore-feline	FIV	SA
KP264355	ncbi-nuccore-feline	FIV	SA
KP264356	ncbi-nuccore-feline	FIV	SA
KP264357	ncbi-nuccore-feline	FIV	SA
KP264358	ncbi-nuccore-feline	FIV	SA
KP264359	ncbi-nuccore-feline	FIV	SA
KP264360	ncbi-nuccore-feline	FIV	SA
KP264361	ncbi-nuccore-feline	FIV	GlobalFca
KP264362	ncbi-nuccore-feline	FIV	GlobalFca
KP264363	ncbi-nuccore-feline	FIV	SA
KP264364	ncbi-nuccore-feline	FIV	SA
KP264365	ncbi-nuccore-feline	FIV	SA
KP264366	ncbi-nuccore-feline	FIV	SA
KP264367	ncbi-nuccore-feline	FIV	SA
KP264368	ncbi-nuccore-feline	FIV	SA
KP264369	ncbi-nuccore-feline	FIV	SA
KP264370	ncbi-nuccore-feline	FIV	SA
KP264371	ncbi-nuccore-feline	FIV	SA
KP264372	ncbi-nuccore-feline	FIV	SA
KP264373	ncbi-nuccore-feline	FIV	GlobalFca
KP264374	ncbi-nuccore-feline	FIV	GlobalFca
KP264375	ncbi-nuccore-feline	FIV	GlobalFca
KP264376	ncbi-nuccore-feline	FIV	GlobalFca
KP264377	ncbi-nuccore-feline	FIV	SA
KP264378	ncbi-nuccore-feline	FIV	SA
KP264379	ncbi-nuccore-feline	FIV	SA
KP264380	ncbi-nuccore-feline	FIV	SA
KP264381	ncbi-nuccore-feline	FIV	SA
KP264382	ncbi-nuccore-feline	FIV	SA
KP264383	ncbi-nuccore-feline	FIV	GlobalFca
KP264384	ncbi-nuccore-feline	FIV	GlobalFca
KP264385	ncbi-nuccore-feline	FIV	GlobalFca
KP264386	ncbi-nuccore-feline	FIV	GlobalFca
KP264387	ncbi-nuccore-feline	FIV	GlobalFca
KP264388	ncbi-nuccore-feline	FIV	GlobalFca
KP264389	ncbi-nuccore-feline	FIV	GlobalFca
KP264390	ncbi-nuccore-feline	FIV	SA
KP264391	ncbi-nuccore-feline	FIV	SA
KP264392	ncbi-nuccore-feline	FIV	SA
KP264393	ncbi-nuccore-feline	FIV	SA
KP264394	ncbi-nuccore-feline	FIV	SA
KP264395	ncbi-nuccore-feline	FIV	SA
KP264396	ncbi-nuccore-feline	FIV	SA
KP264397	ncbi-nuccore-feline	FIV	SA
KP264398	ncbi-nuccore-feline	FIV	SA
KP264399	ncbi-nuccore-feline	FIV	SA
KP264400	ncbi-nuccore-feline	FIV	SA
KP264401	ncbi-nuccore-feline	FIV	-
KP264402	ncbi-nuccore-feline	FIV	-
KP264403	ncbi-nuccore-feline	FIV	-
KP264404	ncbi-nuccore-feline	FIV	-
KP264405	ncbi-nuccore-feline	FIV	-
KP264406	ncbi-nuccore-feline	FIV	-
KP264407	ncbi-nuccore-feline	FIV	-
KP264408	ncbi-nuccore-feline	FIV	-
KP264409	ncbi-nuccore-feline	FIV	-
KP264410	ncbi-nuccore-feline	FIV	-
KP264411	ncbi-nuccore-feline	FIV	SA
KP264412	ncbi-nuccore-feline	FIV	-
KP264413	ncbi-nuccore-feline	FIV	-
KP264414	ncbi-nuccore-feline	FIV	SA
KP264415	ncbi-nuccore-feline	FIV	SA
KP264416	ncbi-nuccore-feline	FIV	GlobalFca
KP264417	ncbi-nuccore-feline	FIV	GlobalFca
KP264418	ncbi-nuccore-feline	FIV	GlobalFca
KP264419	ncbi-nuccore-feline	FIV	GlobalFca
KP264420	ncbi-nuccore-feline	FIV	GlobalFca
KP264421	ncbi-nuccore-feline	FIV	GlobalFca
KP264422	ncbi-nuccore-feline	FIV	GlobalFca
KP264423	ncbi-nuccore-feline	FIV	GlobalFca
KP264424	ncbi-nuccore-feline	FIV	GlobalFca
KP264425	ncbi-nuccore-feline	FIV	GlobalFca
KP264426	ncbi-nuccore-feline	FIV	GlobalFca
KP264427	ncbi-nuccore-feline	FIV	GlobalFca
KP264428	ncbi-nuccore-feline	FIV	GlobalFca
KP264429	ncbi-nuccore-feline	FIV	GlobalFca
KP264430	ncbi-nuccore-feline	FIV	GlobalFca
KP264431	ncbi-nuccore-feline	FIV	GlobalFca
KP264432	ncbi-nuccore-feline	FIV	GlobalFca
KP264433	ncbi-nuccore-feline	FIV	GlobalFca
KP264434	ncbi-nuccore-feline	FIV	GlobalFca
KP264435	ncbi-nuccore-feline	FIV	GlobalFca
KP264436	ncbi-nuccore-feline	FIV	GlobalFca
KP264437	ncbi-nuccore-feline	FIV	SA
KP264438	ncbi-nuccore-feline	FIV	SA
KP264439	ncbi-nuccore-feline	FIV	SA
KP264440	ncbi-nuccore-feline	FIV	-
KP264441	ncbi-nuccore-feline	FIV	-
KP264442	ncbi-nuccore-feline	FIV	-
KP264443	ncbi-nuccore-feline	FIV	-
KP264444	ncbi-nuccore-feline	FIV	-
KP264445	ncbi-nuccore-feline	FIV	-
KP264446	ncbi-nuccore-feline	FIV	-
KP264447	ncbi-nuccore-feline	FIV	-
KP264448	ncbi-nuccore-feline	FIV	-
KP264449	ncbi-nuccore-feline	FIV	-
KP264450	ncbi-nuccore-feline	FIV	-
KP264451	ncbi-nuccore-feline	FIV	-
KP264452	ncbi-nuccore-feline	FIV	-
KP264453	ncbi-nuccore-feline	FIV	-
KP264454	ncbi-nuccore-feline	FIV	SA
KP264455	ncbi-nuccore-feline	FIV	SA
KP264456	ncbi-nuccore-feline	FIV	SA
KP264457	ncbi-nuccore-feline	FIV	SA
KP264458	ncbi-nuccore-feline	FIV	SA
KP264459	ncbi-nuccore-feline	FIV	SA
KP264460	ncbi-nuccore-feline	FIV	SA
KP264461	ncbi-nuccore-feline	FIV	SA
KP264462	ncbi-nuccore-feline	FIV	SA
KP264463	ncbi-nuccore-feline	FIV	SA
KP264464	ncbi-nuccore-feline	FIV	SA
KP264465	ncbi-nuccore-feline	FIV	SA
KP264466	ncbi-nuccore-feline	FIV	SA
KP264467	ncbi-nuccore-feline	FIV	SA
KP264468	ncbi-nuccore-feline	FIV	SA
KP264469	ncbi-nuccore-feline	FIV	SA
KP264470	ncbi-nuccore-feline	FIV	SA
KP264471	ncbi-nuccore-feline	FIV	SA
KP264472	ncbi-nuccore-feline	FIV	SA
KP264473	ncbi-nuccore-feline	FIV	SA
KP264474	ncbi-nuccore-feline	FIV	SA
KP264475	ncbi-nuccore-feline	FIV	SA
KP264476	ncbi-nuccore-feline	FIV	SA
KP264477	ncbi-nuccore-feline	FIV	SA
KP264478	ncbi-nuccore-feline	FIV	SA
KP264479	ncbi-nuccore-feline	FIV	GlobalFca
KP264480	ncbi-nuccore-feline	FIV	GlobalFca
KP264481	ncbi-nuccore-feline	FIV	SA
KP264482	ncbi-nuccore-feline	FIV	SA
KP264483	ncbi-nuccore-feline	FIV	SA
KP264484	ncbi-nuccore-feline	FIV	SA
KP264485	ncbi-nuccore-feline	FIV	SA
KP264486	ncbi-nuccore-feline	FIV	SA
KP264487	ncbi-nuccore-feline	FIV	SA
KP264488	ncbi-nuccore-feline	FIV	SA
KP264489	ncbi-nuccore-feline	FIV	SA
KP264490	ncbi-nuccore-feline	FIV	SA
KP264491	ncbi-nuccore-feline	FIV	SA
KP264492	ncbi-nuccore-feline	FIV	SA
KP264493	ncbi-nuccore-feline	FIV	SA
KP264494	ncbi-nuccore-feline	FIV	SA
KP264495	ncbi-nuccore-feline	FIV	SA
KP264496	ncbi-nuccore-feline	FIV	SA
KP264497	ncbi-nuccore-feline	FIV	SA
KP264498	ncbi-nuccore-feline	FIV	SA
KP264499	ncbi-nuccore-feline	FIV	SA
KP264500	ncbi-nuccore-feline	FIV	SA
KP264501	ncbi-nuccore-feline	FIV	SA
KP264502	ncbi-nuccore-feline	FIV	SA
KP264503	ncbi-nuccore-feline	FIV	SA
KP264504	ncbi-nuccore-feline	FIV	SA
KP264505	ncbi-nuccore-feline	FIV	SA
KP264506	ncbi-nuccore-feline	FIV	SA
KP264507	ncbi-nuccore-feline	FIV	SA
KP264508	ncbi-nuccore-feline	FIV	GlobalFca
KP264509	ncbi-nuccore-feline	FIV	SA
KP264510	ncbi-nuccore-feline	FIV	SA
KP264511	ncbi-nuccore-feline	FIV	SA
KP264512	ncbi-nuccore-feline	FIV	SA
KP264513	ncbi-nuccore-feline	FIV	SA
KP264514	ncbi-nuccore-feline	FIV	SA
KP264515	ncbi-nuccore-feline	FIV	SA
KP264516	ncbi-nuccore-feline	FIV	SA
KP264517	ncbi-nuccore-feline	FIV	SA
KP264518	ncbi-nuccore-feline	FIV	SA
KP264519	ncbi-nuccore-feline	FIV	SA
KP264520	ncbi-nuccore-feline	FIV	SA
KP264521	ncbi-nuccore-feline	FIV	SA
KP264522	ncbi-nuccore-feline	FIV	SA
KP264523	ncbi-nuccore-feline	FIV	SA
KP264524	ncbi-nuccore-feline	FIV	SA
KP264525	ncbi-nuccore-feline	FIV	SA
KP264526	ncbi-nuccore-feline	FIV	SA
KP264527	ncbi-nuccore-feline	FIV	SA
KP264528	ncbi-nuccore-feline	FIV	SA
KP264529	ncbi-nuccore-feline	FIV	SA
KP264530	ncbi-nuccore-feline	FIV	SA
KP264531	ncbi-nuccore-feline	FIV	SA
KP264532	ncbi-nuccore-feline	FIV	SA
KP264533	ncbi-nuccore-feline	FIV	SA
KP264534	ncbi-nuccore-feline	FIV	SA
KP264535	ncbi-nuccore-feline	FIV	SA
KP264536	ncbi-nuccore-feline	FIV	SA
KP264537	ncbi-nuccore-feline	FIV	SA
KP264538	ncbi-nuccore-feline	FIV	SA
KP264539	ncbi-nuccore-feline	FIV	SA
KP264540	ncbi-nuccore-feline	FIV	SA
KP264541	ncbi-nuccore-feline	FIV	SA
KP264542	ncbi-nuccore-feline	FIV	SA
KP264543	ncbi-nuccore-feline	FIV	SA
KP264544	ncbi-nuccore-feline	FIV	SA
KP264545	ncbi-nuccore-feline	FIV	SA
KP264546	ncbi-nuccore-feline	FIV	SA
KP264547	ncbi-nuccore-feline	FIV	SA
KP264548	ncbi-nuccore-feline	FIV	SA
KP264549	ncbi-nuccore-feline	FIV	SA
KP264550	ncbi-nuccore-feline	FIV	SA
KP264551	ncbi-nuccore-feline	FIV	SA
KP264552	ncbi-nuccore-feline	FIV	SA
KP264553	ncbi-nuccore-feline	FIV	SA
KP264554	ncbi-nuccore-feline	FIV	SA
KP264555	ncbi-nuccore-feline	FIV	SA
KP264556	ncbi-nuccore-feline	FIV	SA
KP264557	ncbi-nuccore-feline	FIV	SA
KP264558	ncbi-nuccore-feline	FIV	SA
KP264559	ncbi-nuccore-feline	FIV	SA
KP264560	ncbi-nuccore-feline	FIV	SA
KP264561	ncbi-nuccore-feline	FIV	SA
KP264562	ncbi-nuccore-feline	FIV	SA
KP330209	ncbi-nuccore-feline	FIV	GlobalFca
KP330210	ncbi-nuccore-feline	FIV	GlobalFca
KP330211	ncbi-nuccore-feline	FIV	GlobalFca
KP330212	ncbi-nuccore-feline	FIV	GlobalFca
KP330213	ncbi-nuccore-feline	FIV	GlobalFca
KP330214	ncbi-nuccore-feline	FIV	GlobalFca
KP330215	ncbi-nuccore-feline	FIV	GlobalFca
KP330216	ncbi-nuccore-feline	FIV	GlobalFca
KP330217	ncbi-nuccore-feline	FIV	GlobalFca
KP330218	ncbi-nuccore-feline	FIV	GlobalFca
KP330219	ncbi-nuccore-feline	FIV	GlobalFca
KP330220	ncbi-nuccore-feline	FIV	GlobalFca
KP330221	ncbi-nuccore-feline	FIV	GlobalFca
KP330222	ncbi-nuccore-feline	FIV	GlobalFca
KP330223	ncbi-nuccore-feline	FIV	GlobalFca
KP330224	ncbi-nuccore-feline	FIV	GlobalFca
KP330225	ncbi-nuccore-feline	FIV	GlobalFca
KP330226	ncbi-nuccore-feline	FIV	GlobalFca
KP330227	ncbi-nuccore-feline	FIV	GlobalFca
KP330228	ncbi-nuccore-feline	FIV	GlobalFca
KP330229	ncbi-nuccore-feline	FIV	GlobalFca
KP330230	ncbi-nuccore-feline	FIV	GlobalFca
L00607	ncbi-nuccore-feline	FIV	GlobalFca
L00608	ncbi-nuccore-feline	FIV	GlobalFca
L06136	ncbi-nuccore-feline	FIV	GlobalFca
L06311	ncbi-nuccore-feline	FIV	GlobalFca
L06312	ncbi-nuccore-feline	FIV	GlobalFca
M73964	ncbi-nuccore-feline	FIV	GlobalFca
M73965	ncbi-nuccore-feline	FIV	GlobalFca
MN563193	ncbi-nuccore-feline	FIV	NA_B
MN563194	ncbi-nuccore-feline	FIV	NA_B
MN563195	ncbi-nuccore-feline	FIV	NA_B
MN563196	ncbi-nuccore-feline	FIV	NA_B
MN563197	ncbi-nuccore-feline	FIV	NA_B
MN563198	ncbi-nuccore-feline	FIV	NA_B
MN563199	ncbi-nuccore-feline	FIV	NA_B
MN563200	ncbi-nuccore-feline	FIV	NA_B
MN563201	ncbi-nuccore-feline	FIV	NA_B
MN563202	ncbi-nuccore-feline	FIV	NA_B
MN563203	ncbi-nuccore-feline	FIV	NA_B
MN563204	ncbi-nuccore-feline	FIV	NA_B
MN563205	ncbi-nuccore-feline	FIV	NA_B
MN563206	ncbi-nuccore-feline	FIV	NA_B
MN563207	ncbi-nuccore-feline	FIV	NA_B
MN563208	ncbi-nuccore-feline	FIV	NA_B
MN563209	ncbi-nuccore-feline	FIV	NA_B
MN563210	ncbi-nuccore-feline	FIV	NA_B
MN563211	ncbi-nuccore-feline	FIV	NA_B
MN563212	ncbi-nuccore-feline	FIV	NA_B
MN563213	ncbi-nuccore-feline	FIV	NA_B
MN563214	ncbi-nuccore-feline	FIV	NA_B
MN563215	ncbi-nuccore-feline	FIV	NA_B
MN563216	ncbi-nuccore-feline	FIV	NA_B
MN563217	ncbi-nuccore-feline	FIV	NA_B
MN563218	ncbi-nuccore-feline	FIV	NA_B
MN563219	ncbi-nuccore-feline	FIV	NA_B
MN563220	ncbi-nuccore-feline	FIV	NA_B
MN563221	ncbi-nuccore-feline	FIV	NA_B
MN563222	ncbi-nuccore-feline	FIV	NA_B
MN563223	ncbi-nuccore-feline	FIV	NA_B
MN563224	ncbi-nuccore-feline	FIV	NA_B
MN563225	ncbi-nuccore-feline	FIV	NA_B
MN563226	ncbi-nuccore-feline	FIV	NA_B
MN563227	ncbi-nuccore-feline	FIV	NA_B
MN563228	ncbi-nuccore-feline	FIV	NA_B
MN563229	ncbi-nuccore-feline	FIV	NA_B
MN563230	ncbi-nuccore-feline	FIV	NA_B
MN563231	ncbi-nuccore-feline	FIV	NA_B
MN563232	ncbi-nuccore-feline	FIV	NA_B
MN563233	ncbi-nuccore-feline	FIV	NA_B
MN563234	ncbi-nuccore-feline	FIV	NA_B
MN563235	ncbi-nuccore-feline	FIV	NA_B
MN563236	ncbi-nuccore-feline	FIV	NA_B
MN563237	ncbi-nuccore-feline	FIV	NA_B
MN563238	ncbi-nuccore-feline	FIV	NA_B
MN563239	ncbi-nuccore-feline	FIV	NA_B
MN982669	ncbi-nuccore-feline	FIV	-
